variable,value,Label
S1035C,Variable Label,"To lower blood pressure, cut down salt"
S1035C,0,No
S1035C,1,Yes
S1035C,3,N/A
S1035D,Variable Label,"To lower blood pressure, exercise"
S1035D,0,No
S1035D,1,Yes
S1035D,3,N/A
S1035E,Variable Label,"To lower blood pressure, cut down alcohol"
S1035E,0,No
S1035E,1,Yes
S1035E,3,N/A
S1035F,Variable Label,"To lower blood pressure, stop smoking"
S1035F,0,No
S1035F,1,Yes
S1035F,3,N/A
S1036,Variable Label,Days ate fruits in the past 7 days
S1036,0,None
S1036,8,Don't know / not sure
S1038,Variable Label,Days ate vegetables in the past 7 days
S1038,0,None
S1038,8,Don't know / not sure
S1040,Variable Label,Visited a health facility in the last 6 months
S1040,0,No
S1040,1,Yes
S1041,Variable Label,Type of facility visited most recently
S1041,1,Public / government
S1041,2,Private
S1041,6,Other
S1041,8,Don't know
S1042,Variable Label,Service received most recently
S1042,1,Family planning
S1042,2,ANC/Delivery/PNC
S1042,3,Newborn care
S1042,4,Malaria
S1042,5,Fever
S1042,6,Diarrhoea
S1042,7,HIV/AIDS/STI
S1042,8,High blood pressure
S1042,9,Ear/nose/throat/ infection
S1042,10,Diabetes
S1042,11,Eye infection
S1042,12,Checkup/preventive care
S1042,13,Accident/injury
S1042,14,Other outpatient service
S1042,15,Pregnancy/delivery
S1042,16,Child illness
S1042,17,Her own illness
S1042,18,Accident/injury
S1042,19,Other inpatient sercie
S1042,96,Other
S1043,Variable Label,How to pay the most recent service
S1043,1,Cash
S1043,2,National health insurance
S1043,3,Other insurance
S1043,4,Combination of any of the above
S1043,6,Other
S1044,Variable Label,Easy to get care
S1044,1,Very easy
S1044,2,Easy
S1044,3,Fairly easy
S1044,4,Difficult
S1044,5,Very difficult
S1045,Variable Label,The convenience of health facility location
S1045,1,Very convenient
S1045,2,Convenient
S1045,3,Fairly convenient
S1045,4,Not convenient
S1045,5,Very convenient
S1046,Variable Label,How good are the opening hours during the day
S1046,1,Very good
S1046,2,Good
S1046,3,Fair
S1046,4,Poor
S1046,5,Very poor
S1047A,Variable Label,Satisfaction of the time to wait for your turn
S1047A,1,Very satisfied
S1047A,2,Satisfied
S1047A,3,Fairly satisfied
S1047A,4,Not satisfied
S1047A,5,Very dissatisfied
S1047A,6,Not applicable
S1047B,Variable Label,Satisfaction of the time spent in consulting/examination room
S1047B,1,Very satisfied
S1047B,2,Satisfied
S1047B,3,Fairly satisfied
S1047B,4,Not satisfied
S1047B,5,Very dissatisfied
S1047B,6,Not applicable
S1047C,Variable Label,Satisfaction of the time to wait for tests to be performed
S1047C,1,Very satisfied
S1047C,2,Satisfied
S1047C,3,Fairly satisfied
S1047C,4,Not satisfied
S1047C,5,Very dissatisfied
S1047C,6,Not applicable
S1047D,Variable Label,Satisfaction of the time to wait for test results
S1047D,1,Very satisfied
S1047D,2,Satisfied
S1047D,3,Fairly satisfied
S1047D,4,Not satisfied
S1047D,5,Very dissatisfied
S1047D,6,Not applicable
S1047E,Variable Label,Satisfaction of the time at pharmacy/dispensary
S1047E,1,Very satisfied
S1047E,2,Satisfied
S1047E,3,Fairly satisfied
S1047E,4,Not satisfied
S1047E,5,Very dissatisfied
S1047E,6,Not applicable
S1048A,Variable Label,Satisfaction of staff when they listened to the respondent
S1048A,1,Very satisfied
S1048A,2,Satisfied
S1048A,3,Fairly satisfied
S1048A,4,Not satisfied
S1048A,5,Very dissatisfied
S1048B,Variable Label,Satisfaction of staff when they explained what was wanted
S1048B,1,Very satisfied
S1048B,2,Satisfied
S1048B,3,Fairly satisfied
S1048B,4,Not satisfied
S1048B,5,Very dissatisfied
S1048C,Variable Label,Satisfaction of staff when they gave advice on treatment
S1048C,1,Very satisfied
S1048C,2,Satisfied
S1048C,3,Fairly satisfied
S1048C,4,Not satisfied
S1048C,5,Very dissatisfied
S1049,Variable Label,Health provider spent enough time with the respondent
S1049,0,No
S1049,1,Yes
S105,Variable Label,Highest educational level
S105,1,Primary
S105,2,Middle
S105,3,JSS/JHS
S105,4,Secondary
S105,5,SSS/SHS
S105,6,Higher
S1050,Variable Label,Health provider sought consent before treatment
S1050,0,No
S1050,1,Yes
S1051,Variable Label,Health provider friendly to the respondent
S1051,0,No
S1051,1,Yes
S1052A,Variable Label,Satisfaction of the cleanliness of the facility
S1052A,1,Very satisfied
S1052A,2,Satisfied
S1052A,3,Fairly satisfied
S1052A,4,Not satisfied
S1052A,5,Very dissatisfied
S1052B,Variable Label,Satisfaction of the easiness of finding where to go
S1052B,1,Very satisfied
S1052B,2,Satisfied
S1052B,3,Fairly satisfied
S1052B,4,Not satisfied
S1052B,5,Very dissatisfied
S1052C,Variable Label,Satisfaction of comfort and safety while waiting
S1052C,1,Very satisfied
S1052C,2,Satisfied
S1052C,3,Fairly satisfied
S1052C,4,Not satisfied
S1052C,5,Very dissatisfied
S1052D,Variable Label,Satisfaction of privacy during the examination
S1052D,1,Very satisfied
S1052D,2,Satisfied
S1052D,3,Fairly satisfied
S1052D,4,Not satisfied
S1052D,5,Very dissatisfied
S1052E,Variable Label,Satisfaction of confidentiality and protection of personal information
S1052E,1,Very satisfied
S1052E,2,Satisfied
S1052E,3,Fairly satisfied
S1052E,4,Not satisfied
S1052E,5,Very dissatisfied
S1054H,Variable Label,Time of measurement (hour)
S1054H,97,Inconsistent
S1054M,Variable Label,Time of measurement (minutes)
S1054M,97,Inconsistent
S1055,Variable Label,Agree on blood pressure measurement
S1055,1,Respondent agrees
S1055,2,Respondent disagrees
S1056A,Variable Label,Third measurement: Systolic
S1056A,0,Special answer
S1056B,Variable Label,Third measurement: Diastolic
S1056C,Variable Label,Reason not measured
S1056C,994,Refused
S1056C,995,Technical problems
S1056C,996,Other
S106,Variable Label,Highest grade/form/year at that level
S106B,Variable Label,Age of being enrolled in primary school
S106C,Variable Label,Current school attendance
S106C,0,No
S106C,1,Yes
S106D,Variable Label,Reason for stopping school attendance
S106D,1,Had to work
S106D,2,Moved
S106D,3,No money to cover costs
S106D,4,Had bad grades
S106D,5,Health reasons
S106D,6,Got married / family reasons
S106D,7,Completed desired level
S106D,8,No desire to continue
S106D,9,Waiting for approved admission
S106D,10,Became pregnant
S106D,96,Other
S1113,Variable Label,Consent for a follow-up study
S1113,0,No
S1113,1,Yes
S205AA1,Variable Label,Sons age under 18 living elsewhere
S205AA2,Variable Label,Daughters age under 18 living elsewhere
S205BA1,Variable Label,Boys living with relatives
S205BA2,Variable Label,Girls living with relatives
S205BB1,Variable Label,Boys living with family friends
S205BB2,Variable Label,Girls living with family friends
S205BC1,Variable Label,Boys living in institution: care home
S205BC2,Variable Label,Girls living in institution: care home
S205BD1,Variable Label,Boys living in institution: disability
S205BD2,Variable Label,Girls living in institution: disability
S205BE1,Variable Label,Boys living in institution: boarding school
S205BE2,Variable Label,Girls living in institution: boarding school
S205BF1,Variable Label,Boys living in institution: criminal justice
S205BF2,Variable Label,Girls living in institution: criminal justice
S205BG1,Variable Label,Boys living on the streets/runaway
S205BG2,Variable Label,Girls living on the streets/runaway
S205BH1,Variable Label,Boys formally adopted
S205BH2,Variable Label,Girls formally adopted
S205BX1,Variable Label,Boys in other situation
S205BX2,Variable Label,Girls in other situation
S205BZ1,Variable Label,Boys' situation unknown
S205BZ2,Variable Label,Girls' situation unknown
S205C1,Variable Label,Sum of number of boys in question 205BB
S205C2,Variable Label,Sum of number of grils in question 205BB
S429B,Variable Label,ANC card
S429B,0,No card
S429B,1,"Yes, seen"
S429B,2,"Yes, not seen"
S429C,Variable Label,Doses of SP/Fansidar
S429C,0,None
S441,Variable Label,First bath time of the last birth
S441,1,Less than 1 hour
S441,2,1-5 hours
S441,3,6-12 hours
S441,4,More than 12 hours
S441,5,Never bathed
S441,8,Don't know
S441A,Variable Label,Time of being wrapped after bath
S441A,1,Less than 30 minutes
S441A,2,30 minutes to 1 hour
S441A,3,More than 1 hour
S441A,4,Never wrapped
S441A,8,Don't know
S470,Variable Label,Worked around the birth time of the last child
S470,0,No
S470,1,Yes
S470,8,Don't remember
S471T,Variable Label,Occupation around the birth time of the last child (2-digit)
S471T,11,"Chief executive, senior officers and legislators"
S471T,12,Administrative and commercial managers not elsewhere classified
S471T,13,Production and specialized service managers
S471T,14,"Hospitality, retail and other services managers"
S471T,21,Science and engineering professionals
S471T,22,Health professionals
S471T,23,Teaching professionals
S471T,24,Business and administrative professionals
S471T,25,Information and communication technology professionals
S471T,26,"Legal, social and cultural professional"
S471T,31,Science and engineering associate professionals
S471T,32,Health associate professionals
S471T,33,Business and administration associate professionals
S471T,34,"Legal, social cultural and related associate professionals"
S471T,35,Information and communications technicians
S471T,41,General and keyboard clerks
S471T,42,Customer service clerks
S471T,43,Numerical and mateial recording clerks
S471T,44,Other clerical support workers
S471T,51,Personal sales workers
S471T,52,Sales workers
S471T,53,Personal care workers
S471T,54,Protective services workers
S471T,61,Market-oriented agricultural workers
S471T,62,"Market-oriented skilled forestry, fishery and hunting workers"
S471T,63,"Subsistence farmers, fishers, hunters and gatherers"
S471T,71,"Building and related trades workers, excluding electricians"
S471T,72,"Metal, machinery and related trades workers"
S471T,73,Handicraft and printing workers
S471T,74,Electrical and electronic trades workers
S471T,75,"Food processing, wood working, garment and other craft and related trades workers"
S471T,81,Stationary plant and machine operators
S471T,82,Assemblers
S471T,83,Drivers and mobile plant operators
S471T,91,Cleaners and helpers
S471T,92,"Agricultural, forestry and fishery labourers"
S471T,93,"Labours in mining, construction, manufacturing and transport"
S471T,94,Food preparation assistants
S471T,95,Street and related sales and service workers
S471T,96,Refuse workers and other elementary workers
S472,Variable Label,Whom was the working for
S472,1,For family member
S472,2,For someone else
S472,3,Self-employed
S473,Variable Label,Paid for the work
S473,1,Cash only
S473,2,Cash and kind
S473,3,In kind only
S473,4,Not paid
S474,Variable Label,Took maternity leave for the last birth
S474,0,No
S474,1,"Yes, paid leave"
S474,2,"Yes, unpaid leave"
S474,8,Don't remember
S475,Variable Label,Who paid for maternity leave
S475,1,Employer
S475,2,Mutual health organization/community-based health insurance
S475,3,Other privately purchased health insurance
S475,6,Other
S476N,Variable Label,Time of stopping work before the last birth (number)
S476N,94,Never stopped
S476U,Variable Label,Time of stopping work before the last birth (unit)
S476U,1,Days before
S476U,2,Weeks before
S476U,3,Months before
S476U,9,Special answers
S477N,Variable Label,Time of starting to work after the last birth (number)
S477N,94,Still on leave
S477N,95,Stopped working
S477U,Variable Label,Time of starting to work after the last birth (unit)
S477U,1,Days before
S477U,2,Weeks before
S477U,3,Months before
S477U,9,Special answers
S478,Variable Label,The reason for stopping work after the last birth
S478,1,Lost job
S478,2,Waiting answer for new job
S478,3,Can't find job / lack of business
S478,4,No suitable job relevant to my skills
S478,5,No one to care of my children / too expensive
S478,6,Other
S538C,Variable Label,Dihidroartemis- Piperaquine taken for fever
S538C,0,No
S538C,1,Yes
S538E,Variable Label,Artesunate-Amodiaquine taken for fever
S538E,0,No
S538E,1,Yes
S538G,Variable Label,Artemether - Lumefantrine  taken for fever
S538G,0,No
S538G,1,Yes
S545,Variable Label,How long after fever started did first take Amodiaquine
S545,0,Same day
S545,1,Next day
S545,2,2 days after fever
S545,3,3 days or more after fever
S545,8,Don't know
S562A,Variable Label,Broth cubes added to food in the last 24 hours
S562A,0,No
S562A,1,Yes
S562A,8,Don't know
S562B,Variable Label,Processed canned meet/fish/legume added to food in the last 24 hours
S562B,0,No
S562B,1,Yes
S562B,8,Don't know
S562C,Variable Label,Salted dried fish/koobi/kako added to food in the last 24 hours
S562C,0,No
S562C,1,Yes
S562C,8,Don't know
S562D,Variable Label,Any other ingredient in the last 24 hours
S562D,0,No
S562D,1,Yes
S562D,8,Don't know
S563,Variable Label,Ever heard about iodized salt
S563,0,No
S563,1,Yes
S564A,Variable Label,Benefit for consuming iodized salt: improve intelligence
S564A,0,No
S564A,1,Yes
S564B,Variable Label,Benefit for consuming iodized salt: provides energy
S564B,0,No
S564B,1,Yes
S564C,Variable Label,Benefit for consuming iodized salt: prevents still birth
S564C,0,No
S564C,1,Yes
S564D,Variable Label,Benefit for consuming iodized salt: prevents mental retardation
S564D,0,No
S564D,1,Yes
S564E,Variable Label,Benefit for consuming iodized salt: prevents miscarriages
S564E,0,No
S564E,1,Yes
S564F,Variable Label,Benefit for consuming iodized salt: prevents goiter
S564F,0,No
S564F,1,Yes
S564X,Variable Label,Benefit for consuming iodized salt: other
S564X,0,No
S564X,1,Yes
S564Z,Variable Label,Benefit for consuming iodized salt: don't know
S564Z,0,No
S564Z,1,Yes
S565A,Variable Label,How to tell iodized salt from non-iodized salt: testing salt
S565A,0,No
S565A,1,Yes
S565B,Variable Label,How to tell iodized salt from non-iodized salt: iodized salt logo
S565B,0,No
S565B,1,Yes
S565C,Variable Label,How to tell iodized salt from non-iodized salt: fine powered salt
S565C,0,No
S565C,1,Yes
S565X,Variable Label,How to tell iodized salt from non-iodized salt: other
S565X,0,No
S565X,1,Yes
S565Z,Variable Label,How to tell iodized salt from non-iodized salt: don't know
S565Z,0,No
S565Z,1,Yes
S600AH,Variable Label,Time of the second blood pressure measurement (hour)
S600AH,97,Inconsistent
S600AM,Variable Label,Time of the second blood pressure measurement (minutes)
S600AM,97,Inconsistent
S600B,Variable Label,Agree on blood pressure measurement
S600B,1,Respondent agrees
S600B,2,Respondent disagrees
S600CA,Variable Label,Second measurement: Systolic
S600CA,0,Special answer
S600CB,Variable Label,Second measurement: Diastolic
S600CC,Variable Label,Reason not measured
S600CC,994,Refused
S600CC,995,Technical problems
S600CC,996,Other
S601A,Variable Label,Bridewealth in current union
S601A,0,No
S601A,1,Yes
S601BA,Variable Label,Why no bridewealth: family didn't agree
S601BA,0,No
S601BA,1,Yes
S601BB,Variable Label,Why no bridewealth: bridewealth not negotiable
S601BB,0,No
S601BB,1,Yes
S601BC,Variable Label,Why no bridewealth: husband not given opportunity to negotiate
S601BC,0,No
S601BC,1,Yes
S601BD,Variable Label,Why no bridewealth: family ties
S601BD,0,No
S601BD,1,Yes
S601BE,Variable Label,Why no bridewealth: I didn't agree
S601BE,0,No
S601BE,1,Yes
S601BF,Variable Label,Why no bridewealth: no need
S601BF,0,No
S601BF,1,Yes
S601BG,Variable Label,Why no bridewealth: prestige
S601BG,0,No
S601BG,1,Yes
S601BH,Variable Label,Why no bridewealth: detected I was pregnant
S601BH,0,No
S601BH,1,Yes
S601BX,Variable Label,Why no bridewealth: other
S601BX,0,No
S601BX,1,Yes
S601C,Variable Label,Status of the bridewealth
S601C,1,Paid in full
S601C,2,Partly paid
S601C,3,Not paid at all
S601C,6,Other
S601DA,Variable Label,Why bridewealth not paid completely: it was expensive
S601DA,0,No
S601DA,1,Yes
S601DB,Variable Label,Why bridewealth not paid completely: agreed to pay in installments
S601DB,0,No
S601DB,1,Yes
S601DC,Variable Label,Why bridewealth not paid completely: intentionally
S601DC,0,No
S601DC,1,Yes
S601DD,Variable Label,Why bridewealth not paid completely: detected I was pregnant
S601DD,0,No
S601DD,1,Yes
S601DE,Variable Label,Why bridewealth not paid completely: financial constraint
S601DE,0,No
S601DE,1,Yes
S601DF,Variable Label,Why bridewealth not paid completely: part of bridewealth used for other purposes
S601DF,0,No
S601DF,1,Yes
S601DG,Variable Label,Why bridewealth not paid completely: family ties
S601DG,0,No
S601DG,1,Yes
S601DH,Variable Label,Why bridewealth not paid completely: customary demands
S601DH,0,No
S601DH,1,Yes
S601DX,Variable Label,Why bridewealth not paid completely: other
S601DX,0,No
S601DX,1,Yes
S814A,Variable Label,Entitled paid or unpaid maternity leave on this job
S814A,0,No
S814A,1,"Yes, paid leave"
S814A,2,"Yes, unpaid leave"
S814A,8,Don't know
S910A,Variable Label,Heard about antiretroviral drugs
S910A,0,No
S910A,1,Yes
S910A,8,Don't know
SDIST,Variable Label,District
SEDUC,Variable Label,Educational level as in final report
SEDUC,0,No education
SEDUC,1,Primary
SEDUC,2,Middle/JHS/JSS
SEDUC,3,Secondary/SSS/SHS/Higher
SLANI,Variable Label,Language of interview
SLANI,1,English
SLANI,2,Akan
SLANI,3,Ga
SLANI,4,Ewe
SLANI,5,Nzema
SLANI,6,Dagbani
SLANI,96,Other
SLANQ,Variable Label,Language of questionnaires
SLANQ,1,English
SLANQ,2,Akan
SLANQ,3,Ga
SLANQ,4,Ewe
SLANQ,5,Nzema
SLANQ,6,Dagbani
SLANQ,7,Other
SLANR,Variable Label,Language of respondent
SLANR,1,English
SLANR,2,Akan
SLANR,3,Ga
SLANR,4,Ewe
SLANR,5,Nzema
SLANR,6,Dagbani
SLANR,96,Other
STRANS,Variable Label,Translator used
STRANS,0,No
STRANS,1,Yes
V000,Variable Label,Country code and phase
V001,Variable Label,Cluster number
V002,Variable Label,Household number
V003,Variable Label,Respondent's line number
V004,Variable Label,Ultimate area unit
V005,Variable Label,Women's individual sample weight (6 decimals)
V006,Variable Label,Month of interview
V007,Variable Label,Year of interview
V008,Variable Label,Date of interview (CMC)
V009,Variable Label,Respondent's month of birth
V010,Variable Label,Respondent's year of birth
V011,Variable Label,Date of birth (CMC)
V012,Variable Label,Respondent's current age
V013,Variable Label,Age in 5-year groups
V013,1,15-19
V013,2,20-24
V013,3,25-29
V013,4,30-34
V013,5,35-39
V013,6,40-44
V013,7,45-49
V014,Variable Label,Completeness of age information
V014,1,Month and year - information complete
V014,2,Month and age - year imputed
V014,3,Year and age - month imputed
V014,4,Year and age - year ignored
V014,5,Year - age/month imputed
V014,6,Age - year/month imputed
V014,7,Month - age/year imputed
V014,8,None - all imputed
V015,Variable Label,Result of individual interview
V015,1,Completed
V015,2,Not at home
V015,3,Postponed
V015,4,Refused
V015,5,Partially completed
V015,6,Respondent incapacitated
V015,7,Other
V016,Variable Label,Day of interview
V017,Variable Label,CMC start of calendar
V018,Variable Label,Row of month of interview
V018,0,No calendar
V019,Variable Label,Length of calendar
V019,0,No calendar
V019A,Variable Label,Number of calendar columns
V019A,0,No calendar
V020,Variable Label,Ever-married sample
V020,0,All woman sample
V020,1,Ever married sample
V021,Variable Label,Primary sampling unit
V022,Variable Label,Sample strata for sampling errors
V022,1,Western Urban
V022,2,Western Rural
V022,3,Central Urban
V022,4,Central Rural
V022,5,Greater Accra Urban
V022,6,Greater Accra Rural
V022,7,Volta Urban
V022,8,Volta Rural
V022,9,Eastern Urban
V022,10,Eastern Rural
V022,11,Ashanti Urban
V022,12,Ashanti Rural
V022,13,Brong Ahafo Urban
V022,14,Brong Ahafo Rural
V022,15,Northern Urban
V022,16,Northern Rural
V022,17,Upper East Urban
V022,18,Upper East Rural
V022,19,Upper West Urban
V022,20,Upper West Rural
V023,Variable Label,Stratification used in sample design
V023,1,Western Urban
V023,2,Western Rural
V023,3,Central Urban
V023,4,Central Rural
V023,5,Greater Accra Urban
V023,6,Greater Accra Rural
V023,7,Volta Urban
V023,8,Volta Rural
V023,9,Eastern Urban
V023,10,Eastern Rural
V023,11,Ashanti Urban
V023,12,Ashanti Rural
V023,13,Brong Ahafo Urban
V023,14,Brong Ahafo Rural
V023,15,Northern Urban
V023,16,Northern Rural
V023,17,Upper East Urban
V023,18,Upper East Rural
V023,19,Upper West Urban
V023,20,Upper West Rural
V024,Variable Label,Region
V024,1,Western
V024,2,Central
V024,3,Greater Accra
V024,4,Volta
V024,5,Eastern
V024,6,Ashanti
V024,7,Brong Ahafo
V024,8,Northern
V024,9,Upper East
V024,10,Upper West
V025,Variable Label,Type of place of residence
V025,1,Urban
V025,2,Rural
V026,Variable Label,NA - De facto place of residence
V026,0,"Capital, large city"
V026,1,Small city
V026,2,Town
V026,3,Countryside
V027,Variable Label,Number of visits
V028,Variable Label,Interviewer identification
V029,Variable Label,NA - Keyer identification
V030,Variable Label,Field supervisor
V031,Variable Label,Field editor
V032,Variable Label,NA - Office editor
V034,Variable Label,Line number of husband
V034,0,Husband not in household
V040,Variable Label,Cluster altitude in meters
V042,Variable Label,Household selected for hemoglobin
V042,0,Not selected
V042,1,Selected
V044,Variable Label,NA - Selected for Domestic Violence module
V044,0,Woman not selected
V044,1,Woman selected and interviewed
V044,2,"Woman selected, but privacy not possible"
V044,3,"Woman selected, but not interviewed"
V101,Variable Label,Region
V101,1,Western
V101,2,Central
V101,3,Greater Accra
V101,4,Volta
V101,5,Eastern
V101,6,Ashanti
V101,7,Brong Ahafo
V101,8,Northern
V101,9,Upper East
V101,10,Upper West
V102,Variable Label,Type of place of residence
V102,1,Urban
V102,2,Rural
V103,Variable Label,NA - Childhood place of residence
V103,0,"Capital, large city"
V103,1,City
V103,2,Town
V103,3,Countryside
V103,4,Abroad
V104,Variable Label,NA - Years lived in place of residence
V104,95,Always
V104,96,Visitor
V104,97,Inconsistent
V104,98,Don't know
V105,Variable Label,NA - Type of place of previous residence
V105,0,"Capital, large city"
V105,1,City
V105,2,Town
V105,3,Countryside
V105,4,Abroad
V106,Variable Label,Highest educational level
V106,0,No education
V106,1,Primary
V106,2,Secondary
V106,3,Higher
V107,Variable Label,Highest year of education
V107,0,No years completed at level V106
V113,Variable Label,Source of drinking water
V113,10,PIPED WATER
V113,11,Piped into dwelling
V113,12,Piped to yard/plot
V113,13,Public tap/standpipe
V113,20,TUBE WELL WATER
V113,21,Tube well or borehole
V113,30,DUG WELL (OPEN/PROTECTED)
V113,31,Protected well
V113,32,Unprotected well
V113,40,SURFACE WATER
V113,41,Protected spring
V113,42,Unprotected spring
V113,43,River/dam/lake/ponds/stream/canal/irrigation channel
V113,51,Rainwater
V113,61,Tanker truck
V113,62,Cart with small tank
V113,71,Bottled water
V113,72,Sachet water
V113,96,Other
V113,97,Not a dejure resident
V115,Variable Label,Time to get to water source
V115,996,On premises
V115,997,Not a dejure resident
V115,998,Don't know
V116,Variable Label,Type of toilet facility
V116,10,FLUSH TOILET
V116,11,Flush to piped sewer system
V116,12,Flush to septic tank
V116,13,Flush to pit latrine
V116,14,Flush to somewhere else
V116,15,"Flush, don't know where"
V116,20,PIT TOILET LATRINE
V116,21,Ventilated Improved Pit latrine (VIP)
V116,22,Pit latrine with slab
V116,23,Pit latrine without slab/open pit
V116,30,NO FACILITY
V116,31,No facility/bush/field
V116,41,Composting toilet
V116,42,Bucket toilet
V116,43,Hanging toilet/latrine
V116,96,Other
V116,97,Not a dejure resident
V119,Variable Label,Household has: electricity
V119,0,No
V119,1,Yes
V119,7,Not a dejure resident
V120,Variable Label,Household has: radio
V120,0,No
V120,1,Yes
V120,7,Not a dejure resident
V121,Variable Label,Household has: television
V121,0,No
V121,1,Yes
V121,7,Not a dejure resident
V122,Variable Label,Household has: refrigerator
V122,0,No
V122,1,Yes
V122,7,Not a dejure resident
V123,Variable Label,Household has: bicycle
V123,0,No
V123,1,Yes
V123,7,Not a dejure resident
V124,Variable Label,Household has: motorcycle/scooter
V124,0,No
V124,1,Yes
V124,7,Not a dejure resident
V125,Variable Label,Household has: car/truck
V125,0,No
V125,1,Yes
V125,7,Not a dejure resident
V127,Variable Label,Main floor material
V127,11,"Earth, sand"
V127,12,Dung
V127,21,Wood planks
V127,31,"Parquet, polished wood"
V127,32,"Vinyl, asphalt strips"
V127,33,Ceramic/marble/porcelain tiles / terrazo
V127,34,Cement
V127,35,Woolen carpets/ synthetic carpet
V127,36,Linoleum/rubber carpet
V127,96,Other
V127,97,Not a dejure resident
V128,Variable Label,Main wall material
V128,11,No walls
V128,12,Cane / palm / trunks
V128,13,Dirt
V128,21,Bamboo with mud
V128,22,Stone with mud
V128,23,Uncovered adobe
V128,24,Plywood
V128,25,Cardboard
V128,26,Reused wood
V128,31,Cement
V128,32,Stone with lime / cement
V128,33,Bricks
V128,34,Cement blocks
V128,35,Covered adobe
V128,36,Wood planks / shingles
V128,96,Other
V128,97,Not a dejure resident
V129,Variable Label,Main roof material
V129,11,No roof
V129,12,Thatch / palm leaf
V129,13,Sod
V129,21,Rustic mat
V129,22,Palm / bamboo
V129,23,Wood planks
V129,24,Cardboard
V129,31,Metal
V129,32,Wood
V129,33,Calamine / cement fiber
V129,34,Ceramic tiles
V129,35,Cement
V129,36,Roofing shingles
V129,37,Asbestos/slate roofing sheets
V129,96,Other
V129,97,Not a dejure resident
V130,Variable Label,Religion
V130,1,Catholic
V130,2,Anglican
V130,3,Methodist
V130,4,Presbyterian
V130,5,Pentecostal/charismatic
V130,6,Other Christian
V130,7,Islam
V130,8,Traditional/spiritualist
V130,9,No religion
V130,96,Other
V131,Variable Label,Ethnicity
V131,1,Akan
V131,2,Ga/Dangme
V131,3,Ewe
V131,4,Guan
V131,5,Mole-Dagbani
V131,6,Grusi
V131,7,Gurma
V131,8,Mande
V131,996,Other
V133,Variable Label,Education in single years
V133,97,Inconsistent
V134,Variable Label,NA - De facto place of residence
V134,0,"Capital, large city"
V134,1,Small city
V134,2,Town
V134,3,Countryside
V135,Variable Label,Usual resident or visitor
V135,1,Usual resident
V135,2,Visitor
V136,Variable Label,Number of household members (listed)
V137,Variable Label,Number of children 5 and under in household (de jure)
V138,Variable Label,Number of eligible women in household (de facto)
V139,Variable Label,De jure region of residence
V139,0,Abroad
V139,1,Western
V139,2,Central
V139,3,Greater Accra
V139,4,Volta
V139,5,Eastern
V139,6,Ashanti
V139,7,Brong Ahafo
V139,8,Northern
V139,9,Upper East
V139,10,Upper West
V139,97,Not dejure resident
V140,Variable Label,De jure type of place of residence
V140,0,Abroad
V140,1,Urban
V140,2,Rural
V140,7,Not a dejure resident
V141,Variable Label,NA - De jure place of residence
V141,0,"Capital, large city"
V141,1,City
V141,2,Town
V141,3,Countryside
V141,4,Abroad
V141,7,Not a dejure resident
V149,Variable Label,Educational attainment
V149,0,No education
V149,1,Incomplete primary
V149,2,Complete primary
V149,3,Incomplete secondary
V149,4,Complete secondary
V149,5,Higher
V150,Variable Label,Relationship to household head
V150,1,Head
V150,2,Wife
V150,3,Daughter
V150,4,Daughter-in-law
V150,5,Granddaughter
V150,6,Mother
V150,7,Mother-in-law
V150,8,Sister
V150,9,Co-spouse
V150,10,Other relative
V150,11,Adopted/foster child
V150,12,Not related
V150,98,Don't know
V151,Variable Label,Sex of household head
V151,1,Male
V151,2,Female
V152,Variable Label,Age of household head
V152,97,97+
V152,98,Don't know
V153,Variable Label,Household has: telephone (land-line)
V153,0,No
V153,1,Yes
V153,7,Not a dejure resident
V155,Variable Label,Literacy
V155,0,Cannot read at all
V155,1,Able to read only parts of sentence
V155,2,Able to read whole sentence
V155,3,No card with required language
V155,4,Blind/visually impaired
V156,Variable Label,NA - Ever participated in a literacy program outside of primary
V156,0,No
V156,1,Yes
V157,Variable Label,Frequency of reading newspaper or magazine
V157,0,Not at all
V157,1,Less than once a week
V157,2,At least once a week
V157,3,Almost every day
V158,Variable Label,Frequency of listening to radio
V158,0,Not at all
V158,1,Less than once a week
V158,2,At least once a week
V158,3,Almost every day
V159,Variable Label,Frequency of watching television
V159,0,Not at all
V159,1,Less than once a week
V159,2,At least once a week
V159,3,Almost every day
V160,Variable Label,Toilet facilities shared with other households
V160,0,No
V160,1,"Yes, other household only"
V160,2,"Yes, public"
V160,7,Not a dejure resident
V161,Variable Label,Type of cooking fuel
V161,1,Electricity
V161,2,LPG
V161,3,Natural gas
V161,4,Biogas
V161,5,Kerosene
V161,6,"Coal, lignite"
V161,7,Charcoal
V161,8,Wood
V161,9,Straw/shrubs/grass
V161,10,Agricultural crop
V161,11,Animal dung
V161,95,No food cooked in house
V161,96,Other
V161,97,Not a dejure resident
V166,Variable Label,Result of salt test for iodine
V166,0,0 PPM (no iodine)
V166,7,Below 15 PPM
V166,15,15 PPM and above
V166,30,30 PPM
V166,994,Salt not tested
V166,995,No salt
V166,997,Not a dejure resident
V167,Variable Label,Number of trips in last 12 months
V167,0,None
V167,90,90+
V168,Variable Label,Away for more than one month in last 12 months
V168,0,No
V168,1,Yes
V190,Variable Label,Wealth index
V190,1,Poorest
V190,2,Poorer
